Artist Name,Genre,Gender,Location,Discipline,Number of Songs (Spotify),Number of albums,Number of EPs/Singles (Spotify),Monthly listeners (Spotify),Total Streams (Spotify),Fan Retention Rate (Spotify),(Spotify),Playlist Reach (Spotify),Platform Playlists appearence (Spotify),Non-platform playlists (Spotify),Spotify Following,Instagram Following,TikTok Following,Distance_to_Ideal,Cluster
Vaishalini,4.0,2.0,5.0,3.0,5.0,2.0,5.0,4.0,9.0,5.0,4.0,6.0,1.0,7.0,4.0,3.0,4.0,57006.5,Ready
Revenge Wife,2.0,2.0,1.0,3.0,5.0,1.0,4.0,3.0,8.0,5.0,3.0,6.0,2.0,7.0,3.0,4.0,4.0,57011.5,Ready
Natalie Lindi,4.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,57029.5,Not Ready
Boys Go to Jupiter,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,7.0,3.0,4.0,5.0,1.0,6.0,3.0,4.0,3.0,57017.0,Not Ready
peachi,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,57040.5,Not Ready
Simona,4.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,3.0,6.0,1.0,4.0,1.0,3.0,2.0,57029.5,Not Ready
Arlo,4.0,1.0,1.0,4.0,5.0,1.0,4.0,4.0,9.0,1.0,4.0,6.0,1.0,7.0,2.0,4.0,3.0,57014.5,Not Ready
Ve'ondre,3.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,9.0,2.0,4.0,6.0,2.0,7.0,4.0,8.0,8.0,57000.0,Ready
Sade Fox,1.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,57040.0,Not Ready
vi0let,1.0,2.0,1.0,4.0,5.0,1.0,3.0,3.0,6.0,3.0,3.0,6.0,1.0,6.0,2.0,2.0,2.0,57023.5,Not Ready
OSIE,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,57031.5,Not Ready
VonSell,5.0,1.0,1.0,4.0,5.0,1.0,4.0,4.0,9.0,1.0,3.0,6.0,4.0,7.0,2.0,2.0,0.0,57022.5,Not Ready
Norah's World,4.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,57033.5,Not Ready
Shae Universe,4.0,2.0,1.0,4.0,5.0,2.0,5.0,5.0,9.0,1.0,5.0,6.0,4.0,8.0,4.0,5.0,5.0,57009.5,Ready
GAWD,4.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,8.0,3.0,4.0,6.0,1.0,7.0,3.0,4.0,2.0,57015.5,Not Ready
Pebbles&TamTam,3.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,9.0,3.0,5.0,6.0,3.0,7.0,4.0,4.0,5.0,57005.5,Ready
Zachkary,5.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,6.0,1.0,3.0,2.0,1.0,6.0,2.0,6.0,8.0,57021.5,Not Ready
Solo Sae,5.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0,6.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,0.0,57034.0,Not Ready
Sammy Cokas,5.0,1.0,1.0,3.0,5.0,2.0,4.0,1.0,5.0,6.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,57034.5,Not Ready
